"","Model_ID","Model_name","time","main_type","sub_type","type","series","history","support"
"1","267","TS-1685","2017/02/16","Enterprise","Entry-level","16-Bay","TS-1685","","ㅴ누"
"2","266","TS-431X","2017/02/14","SMB","Entry-level","4-Bay","TS-x31X Series","","ㅴ누"
"3","265","TVS-882ST2","2016/11/23","SMB","Thunderbolt NAS","8-Bay","TVS-882ST series","","ㅴ누"
"4","264","EJ1600 v2","2016/11/14","Expansion Units","Mid-range","16-Bay","EJ Series Expansion Units","","ㄳㅴ누"
"5","263","ES1640dc v2","2016/11/14","Enterprise","Mid-range","16-Bay","Enterprise ZFS NAS Series","","ㄳㅴ누"
"6","262","TS-453Bmini","2016/10/27","SMB","Mid-range","4-Bay","TS-453Bmini","","ㅴ누"
"7","260","TS-531X","2016/09/26","SMB","Entry-level","5-Bay","TS-x31X Series","","ㅴ누"
"8","259","TS-431P","2016/09/13","Home & SOHO","Work Group / SOHO / Home (Middle-end)","4-Bay","TS-x31P Series","","ㅴ누"
"9","258","TS-231P","2016/09/13","Home & SOHO","Work Group / SOHO / Home (Middle-end)","2-Bay","TS-x31P Series","","ㅴ누"
"10","257","TS-131P","2016/09/13","Home & SOHO","Work Group / SOHO / Home (Middle-end)","1-Bay","TS-x31P Series","","ㅴ누"
"11","256","TVS-873","2016/09/13","SMB","High-end","8-Bay","TVS-x73 Series","","ㅴ누"
"12","255","TVS-673","2016/09/13","SMB","High-end","6-Bay","TVS-x73 Series","","ㅴ누"
"13","254","TVS-473","2016/09/13","SMB","High-end","4-Bay","TVS-x73 Series","","ㅴ누"
"14","253","TS-1231XU-RP","2017/01/25","SMB","Entry-level","12-Bay","TS-x31XU Series","","ㅴ누"
"15","252","TS-831XU-RP","2017/01/25","SMB","Entry-level","8-Bay","TS-x31XU Series","","ㅴ누"
"16","251","TS-431XU-RP","2017/01/25","SMB","Entry-level","4-Bay","TS-x31XU Series","","ㅴ누"
"17","250","TS-1231XU","2017/01/25","SMB","Entry-level","12-Bay","TS-x31XU Series","","ㅴ누"
"18","249","TS-831XU","2017/01/25","SMB","Entry-level","8-Bay","TS-x31XU Series","","ㅴ누"
"19","248","TS-431XU","2017/01/25","SMB","Entry-level","4-Bay","TS-x31XU Series","","ㅴ누"
"20","247","TS-1635","2016/08/11","SMB","Mid-range","16-Bay","TS-1635","","ㅴ누"
"21","246","TES-3085U","2016/08/11","Enterprise","High-end","30-Bay","TES-x85U Series","","ㅴ누"
"22","245","TES-3085U(QES)","2016/08/11","Enterprise","High-end","30-Bay","TES-x85U Series","EOL","ㅴ누"
"23","244","TES-3085U(QTS)","2016/08/11","Enterprise","High-end","30-Bay","TES-x85U Series","EOL","ㅴ누"
"24","243","TES-1885U","2016/08/11","Enterprise","High-end","18-Bay","TES-x85U Series","","ㅴ누"
"25","242","TES-1885U(QES)","2016/08/11","Enterprise","High-end","18-Bay","TES-x85U Series","EOL","ㅴ누"
"26","241","TES-1885U(QTS)","2016/08/11","Enterprise","High-end","18-Bay","TES-x85U Series","EOL","ㅴ누"
"27","240","TS-451A","2016/07/18","Home & SOHO","Work Group / SOHO / Home (High-end)","4-Bay","TS-x51A Series","","ㅴ누"
"28","239","TS-251A","2016/07/18","Home & SOHO","Work Group / SOHO / Home (High-end)","2-Bay","TS-x51A Series","","ㅴ누"
"29","237","TS-831X","2016/03/24","SMB","Entry-level","8-Bay","TS-x31X Series","","ㅴ누"
"30","236","TVS-1282","2016/06/13","SMB","High-end","12-Bay","TVS-x82 Series","","ㅴ누"
"31","235","TVS-882","2016/06/13","SMB","High-end","8-Bay","TVS-x82 Series","","ㅴ누"
"32","234","TVS-682","2016/06/13","SMB","High-end","6-Bay","TVS-x82 Series","","ㅴ누"
"33","233","TVS-1282T","2016/06/13","SMB","Thunderbolt NAS","12-Bay","TVS-x82T Series","","ㅴ누"
"34","232","TVS-882T","2016/06/13","SMB","Thunderbolt NAS","8-Bay","TVS-x82T Series","","ㅴ누"
"35","231","TVS-682T","2016/06/13","SMB","Thunderbolt NAS","6-Bay","TVS-x82T Series","","ㅴ누"
"36","230","TVS-EC2480U-SAS-RP R2","2016/01/05","Enterprise","High-end","24-Bay","TVS-ECx80U-SAS R2 Series","","ㅴ누"
"37","229","TVS-EC1680U-SAS-RP R2","2016/01/05","Enterprise","High-end","16-Bay","TVS-ECx80U-SAS R2 Series","","ㅴ누"
"38","228","TVS-EC1580MU-SAS-RP R2","2016/01/05","Enterprise","High-end","15-Bay","TVS-ECx80U-SAS R2 Series","","ㅴ누"
